SeqNo,Date,UTC Time,Time,IOvector
1,1/17/2019,42:38.9, 000:00:00.947,682
2,1/17/2019,42:55.2, 000:00:17.271,262826
3,1/17/2019,42:55.3, 000:00:17.382,262824
4,1/17/2019,42:55.5, 000:00:17.603,524969
5,1/17/2019,42:55.7, 000:00:17.732,524968
6,1/17/2019,42:55.9, 000:00:17.981,4194986
7,1/17/2019,42:56.6, 000:00:18.692,4197034
8,1/17/2019,42:56.6, 000:00:18.708,4198058
9,1/17/2019,42:57.6, 000:00:19.691,4196010
10,1/17/2019,42:57.7, 000:00:19.744,4194986
11,1/17/2019,42:57.9, 000:00:20.007,4211370
12,1/17/2019,42:59.0, 000:00:21.054,4194986
13,1/17/2019,42:59.4, 000:00:21.488,74410
14,1/17/2019,42:59.5, 000:00:21.571,74282
15,1/17/2019,42:59.6, 000:00:21.664,66090
16,1/17/2019,42:59.7, 000:00:21.833,618
17,1/17/2019,43:00.0, 000:00:22.126,682
18,1/17/2019,43:01.0, 000:00:23.129,1049258
19,1/17/2019,43:01.1, 000:00:23.204,1049250
20,1/17/2019,43:01.4, 000:00:23.461,2097830
21,1/17/2019,43:01.5, 000:00:23.569,2097826
22,1/17/2019,43:01.8, 000:00:23.847,4194986
23,1/17/2019,43:05.9, 000:00:27.940,4211370
24,1/17/2019,43:06.8, 000:00:28.868,4194986
25,1/17/2019,43:07.3, 000:00:29.415,4203178
26,1/17/2019,43:08.3, 000:00:30.340,4194986
27,1/17/2019,43:08.8, 000:00:30.867,37546
28,1/17/2019,43:08.9, 000:00:30.965,37514
29,1/17/2019,43:09.0, 000:00:31.076,33418
30,1/17/2019,43:09.2, 000:00:31.246,666
31,1/17/2019,43:09.2, 000:00:31.312,650
32,1/17/2019,43:09.5, 000:00:31.559,682
33,1/17/2019,43:10.5, 000:00:32.562,262826
34,1/17/2019,43:10.6, 000:00:32.662,262824
35,1/17/2019,43:10.8, 000:00:32.898,524969
36,1/17/2019,43:10.9, 000:00:33.028,524968
37,1/17/2019,43:11.2, 000:00:33.280,4194986
38,1/17/2019,43:11.9, 000:00:33.988,4196010
39,1/17/2019,43:11.9, 000:00:34.031,4198058
40,1/17/2019,43:12.9, 000:00:34.998,4196010
41,1/17/2019,43:13.2, 000:00:35.281,4211370
42,1/17/2019,43:14.2, 000:00:36.297,4194986
43,1/17/2019,43:14.7, 000:00:36.769,74410
44,1/17/2019,43:14.8, 000:00:36.848,74282
45,1/17/2019,43:14.9, 000:00:37.018,66090
46,1/17/2019,43:15.0, 000:00:37.111,618
47,1/17/2019,43:15.1, 000:00:37.167,554
48,1/17/2019,43:15.3, 000:00:37.404,682
49,1/17/2019,43:16.3, 000:00:38.407,1049258
50,1/17/2019,43:16.4, 000:00:38.470,1049250
51,1/17/2019,43:16.6, 000:00:38.733,2097830
52,1/17/2019,43:16.8, 000:00:38.843,2097826
