SeqNo,Date,UTC Time,Time,IOvector
1,1/17/2019,06:56.1, 000:00:01.004,682
2,1/17/2019,08:33.0, 000:01:37.973,262826
3,1/17/2019,08:33.1, 000:01:38.086,262824
4,1/17/2019,08:33.4, 000:01:38.310,524969
5,1/17/2019,08:33.5, 000:01:38.435,524968
6,1/17/2019,08:33.7, 000:01:38.688,4194986
7,1/17/2019,08:34.5, 000:01:39.459,4197034
8,1/17/2019,08:34.7, 000:01:39.665,4198058
9,1/17/2019,08:35.2, 000:01:40.149,4196010
10,1/17/2019,08:35.3, 000:01:40.283,4194986
11,1/17/2019,08:35.4, 000:01:40.358,4196010
12,1/17/2019,08:35.5, 000:01:40.437,4194986
13,1/17/2019,08:35.8, 000:01:40.764,4211370
14,1/17/2019,08:36.8, 000:01:41.778,4194986
15,1/17/2019,08:37.3, 000:01:42.261,74410
16,1/17/2019,08:37.4, 000:01:42.361,74282
17,1/17/2019,08:37.6, 000:01:42.547,66090
18,1/17/2019,08:37.7, 000:01:42.613,618
19,1/17/2019,08:37.7, 000:01:42.670,554
20,1/17/2019,08:38.0, 000:01:42.906,682
21,1/17/2019,08:39.0, 000:01:43.908,1049258
22,1/17/2019,08:39.0, 000:01:43.980,1049250
23,1/17/2019,08:39.3, 000:01:44.238,2097830
24,1/17/2019,08:39.4, 000:01:44.345,2097826
25,1/17/2019,08:39.7, 000:01:44.625,4194986
26,1/17/2019,08:43.7, 000:01:48.696,4211370
27,1/17/2019,08:44.7, 000:01:49.626,4194986
28,1/17/2019,08:45.2, 000:01:50.166,4203178
29,1/17/2019,08:46.2, 000:01:51.096,4194986
30,1/17/2019,08:46.7, 000:01:51.617,37546
31,1/17/2019,08:46.8, 000:01:51.700,37514
32,1/17/2019,08:46.9, 000:01:51.829,33418
33,1/17/2019,08:47.0, 000:01:51.992,666
34,1/17/2019,08:47.1, 000:01:52.057,650
35,1/17/2019,08:47.4, 000:01:52.304,682
36,1/17/2019,08:48.4, 000:01:53.307,262826
37,1/17/2019,08:48.5, 000:01:53.409,262824
38,1/17/2019,08:48.7, 000:01:53.644,524969
39,1/17/2019,08:48.8, 000:01:53.772,524968
40,1/17/2019,08:49.1, 000:01:54.024,4194986
41,1/17/2019,08:49.8, 000:01:54.744,4197034
42,1/17/2019,08:49.8, 000:01:54.757,4198058
43,1/17/2019,08:50.8, 000:01:55.723,4196010
44,1/17/2019,08:50.9, 000:01:55.796,4194986
45,1/17/2019,08:51.1, 000:01:56.060,4211370
46,1/17/2019,08:52.2, 000:01:57.103,4194986
47,1/17/2019,08:52.6, 000:01:57.535,74410
48,1/17/2019,08:52.7, 000:01:57.612,74282
49,1/17/2019,08:52.8, 000:01:57.733,66090
50,1/17/2019,08:52.8, 000:01:57.742,74282
51,1/17/2019,08:52.8, 000:01:57.766,66090
52,1/17/2019,08:52.9, 000:01:57.878,618
53,1/17/2019,08:53.0, 000:01:57.934,554
54,1/17/2019,08:53.2, 000:01:58.170,682
55,1/17/2019,08:54.2, 000:01:59.172,1049258
56,1/17/2019,08:54.3, 000:01:59.233,1049250
57,1/17/2019,08:54.6, 000:01:59.497,2097830
58,1/17/2019,08:54.7, 000:01:59.607,2097826
59,1/17/2019,08:54.9, 000:01:59.885,4194986
60,1/17/2019,08:59.0, 000:02:03.975,4211370
61,1/17/2019,09:00.0, 000:02:04.907,4194986
62,1/17/2019,09:00.5, 000:02:05.448,4203178
63,1/17/2019,09:01.4, 000:02:06.379,4194986
64,1/17/2019,09:02.0, 000:02:06.899,37546
65,1/17/2019,09:02.0, 000:02:06.970,37514
66,1/17/2019,09:02.1, 000:02:07.095,33418
67,1/17/2019,09:02.3, 000:02:07.267,666
68,1/17/2019,09:02.4, 000:02:07.332,650
69,1/17/2019,09:02.6, 000:02:07.578,682
70,1/17/2019,09:03.6, 000:02:08.580,262826
71,1/17/2019,09:03.7, 000:02:08.683,262824
72,1/17/2019,09:04.0, 000:02:08.923,524969
73,1/17/2019,09:04.1, 000:02:09.053,524968
74,1/17/2019,09:04.4, 000:02:09.305,4194986
75,1/17/2019,09:05.1, 000:02:10.023,4196010
76,1/17/2019,09:05.5, 000:02:10.474,4198058
77,1/17/2019,09:06.1, 000:02:11.001,4196010
78,1/17/2019,09:06.1, 000:02:11.040,4194986
79,1/17/2019,09:06.4, 000:02:11.305,4211370
80,1/17/2019,09:07.4, 000:02:12.325,4194986
81,1/17/2019,09:07.9, 000:02:12.795,74410
82,1/17/2019,09:07.9, 000:02:12.869,74282
83,1/17/2019,09:08.1, 000:02:13.036,66090
84,1/17/2019,09:08.2, 000:02:13.136,618
85,1/17/2019,09:08.2, 000:02:13.192,554
86,1/17/2019,09:08.5, 000:02:13.428,682
87,1/17/2019,09:09.5, 000:02:14.430,1049258
88,1/17/2019,09:09.5, 000:02:14.494,1049250
89,1/17/2019,09:09.8, 000:02:14.759,2097830
90,1/17/2019,09:09.9, 000:02:14.874,2097826
91,1/17/2019,09:10.2, 000:02:15.153,4194986
92,1/17/2019,09:12.9, 000:02:17.887,4196010
93,1/17/2019,09:14.0, 000:02:18.948,4194986
94,1/17/2019,09:14.2, 000:02:19.187,148138
95,1/17/2019,09:14.3, 000:02:19.253,147626
96,1/17/2019,09:14.5, 000:02:19.399,131242
97,1/17/2019,09:14.6, 000:02:19.517,426
98,1/17/2019,09:14.6, 000:02:19.575,170
99,1/17/2019,09:14.9, 000:02:19.819,682
100,1/17/2019,09:15.9, 000:02:20.821,262826
101,1/17/2019,09:16.0, 000:02:20.924,262824
102,1/17/2019,09:16.2, 000:02:21.155,524969
103,1/17/2019,09:16.3, 000:02:21.288,524968
104,1/17/2019,09:16.6, 000:02:21.538,4194986
105,1/17/2019,09:17.3, 000:02:22.260,4197034
106,1/17/2019,09:17.3, 000:02:22.274,4198058
107,1/17/2019,09:18.2, 000:02:23.185,4196010
108,1/17/2019,09:18.4, 000:02:23.318,4194986
109,1/17/2019,09:18.6, 000:02:23.584,4211370
110,1/17/2019,09:19.7, 000:02:24.630,4194986
111,1/17/2019,09:20.1, 000:02:25.066,74410
112,1/17/2019,09:20.2, 000:02:25.140,74282
113,1/17/2019,09:20.3, 000:02:25.227,66090
114,1/17/2019,09:20.5, 000:02:25.407,618
115,1/17/2019,09:20.5, 000:02:25.463,554
116,1/17/2019,09:20.8, 000:02:25.700,682
117,1/17/2019,09:21.8, 000:02:26.702,1049258
118,1/17/2019,09:21.8, 000:02:26.771,1049250
119,1/17/2019,09:22.1, 000:02:27.039,2097830
120,1/17/2019,09:22.2, 000:02:27.156,2097826
121,1/17/2019,09:22.5, 000:02:27.435,4194986
122,1/17/2019,09:26.6, 000:02:31.532,4211370
123,1/17/2019,09:27.5, 000:02:32.453,4194986
124,1/17/2019,09:28.1, 000:02:33.002,4203178
125,1/17/2019,09:29.0, 000:02:33.928,4194986
126,1/17/2019,09:29.5, 000:02:34.460,37546
127,1/17/2019,09:29.6, 000:02:34.530,37514
128,1/17/2019,09:29.7, 000:02:34.651,33418
129,1/17/2019,09:29.9, 000:02:34.829,666
130,1/17/2019,09:29.9, 000:02:34.894,650
131,1/17/2019,09:30.2, 000:02:35.140,682
132,1/17/2019,09:31.2, 000:02:36.143,262826
133,1/17/2019,09:31.3, 000:02:36.242,262824
134,1/17/2019,09:31.5, 000:02:36.481,524969
135,1/17/2019,09:31.7, 000:02:36.612,524968
136,1/17/2019,09:31.9, 000:02:36.867,4194986
137,1/17/2019,09:32.6, 000:02:37.576,4196010
138,1/17/2019,09:33.2, 000:02:38.119,4196010
139,1/17/2019,09:33.5, 000:02:38.491,4194986
140,1/17/2019,09:33.6, 000:02:38.545,4196010
141,1/17/2019,09:33.7, 000:02:38.616,4194986
142,1/17/2019,09:33.9, 000:02:38.890,4211370
143,1/17/2019,09:35.0, 000:02:39.931,4194986
144,1/17/2019,09:35.4, 000:02:40.371,74410
145,1/17/2019,09:35.5, 000:02:40.444,74282
146,1/17/2019,09:35.6, 000:02:40.548,66090
147,1/17/2019,09:35.8, 000:02:40.712,618
148,1/17/2019,09:35.8, 000:02:40.768,554
149,1/17/2019,09:36.1, 000:02:41.004,682
150,1/17/2019,09:37.1, 000:02:42.006,1049258
151,1/17/2019,09:37.1, 000:02:42.070,1049250
152,1/17/2019,09:37.4, 000:02:42.337,2097830
153,1/17/2019,09:37.5, 000:02:42.450,2097826
154,1/17/2019,09:37.8, 000:02:42.733,4194986
155,1/17/2019,09:40.5, 000:02:45.459,4196010
156,1/17/2019,09:41.6, 000:02:46.525,4194986
157,1/17/2019,09:41.8, 000:02:46.762,148138
158,1/17/2019,09:41.9, 000:02:46.803,147626
159,1/17/2019,09:42.0, 000:02:46.987,131242
160,1/17/2019,09:42.1, 000:02:47.082,426
161,1/17/2019,09:42.2, 000:02:47.141,170
162,1/17/2019,09:42.4, 000:02:47.384,682
163,1/17/2019,09:43.4, 000:02:48.386,262826
164,1/17/2019,09:43.5, 000:02:48.484,262824
165,1/17/2019,09:43.8, 000:02:48.726,524969
166,1/17/2019,09:43.9, 000:02:48.855,524968
167,1/17/2019,09:44.2, 000:02:49.108,4194986
168,1/17/2019,09:44.9, 000:02:49.846,4197034
169,1/17/2019,09:45.0, 000:02:49.920,4198058
170,1/17/2019,09:45.0, 000:02:49.966,4197034
171,1/17/2019,09:45.1, 000:02:50.062,4198058
172,1/17/2019,09:45.7, 000:02:50.695,4197034
173,1/17/2019,09:45.9, 000:02:50.853,4194986
174,1/17/2019,09:46.2, 000:02:51.156,4211370
175,1/17/2019,09:47.2, 000:02:52.171,4194986
176,1/17/2019,09:47.7, 000:02:52.657,74410
177,1/17/2019,09:47.8, 000:02:52.729,74282
178,1/17/2019,09:48.0, 000:02:52.928,66090
179,1/17/2019,09:48.1, 000:02:52.998,618
180,1/17/2019,09:48.1, 000:02:53.053,554
181,1/17/2019,09:48.3, 000:02:53.290,682
182,1/17/2019,09:49.3, 000:02:54.293,1049258
183,1/17/2019,09:49.4, 000:02:54.359,1049250
184,1/17/2019,09:49.7, 000:02:54.626,2097830
185,1/17/2019,09:49.8, 000:02:54.746,2097826
186,1/17/2019,09:50.1, 000:02:55.028,4194986
187,1/17/2019,09:52.8, 000:02:57.754,4196010
188,1/17/2019,09:53.9, 000:02:58.830,4194986
